ordinal,fullname
1,Chapter1GuestRoomVisibilityRegressionTests.Chapter1GuestsUseAuthoredScaleAsRoomZoomBaseline
2,Chapter1GuestRoomVisibilityRegressionTests.DrawingRoomGuestsAndFurnitureUsePerspectiveDepthSorting
3,Chapter1GuestRoomVisibilityRegressionTests.DrawingRoomWaitingPoseKeepsGuestsThreeFiveSevenStanding
4,Chapter1GuestRoomVisibilityRegressionTests.EntranceHallTemporarilySortsGuestsByArrivalPair
5,Chapter1GuestRoomVisibilityRegressionTests.FrontDoorActionUsesArrivalControllerAnswerSpot
6,Chapter1GuestRoomVisibilityRegressionTests.GuestDrawingRoomMovementDoesNotReparentIntoPresentationHierarchy
7,Chapter1GuestRoomVisibilityRegressionTests.MoveGroupToDrawingRoomKeepsGuestsVisibleThroughActorRoomState
8,Chapter1GuestRoomVisibilityRegressionTests.SceneGuestsPreserveAuthoredSortingInPlayMode
9,Chapter2RegressionTests.ButlerVoiceLinesAreCatalogedAndProtectedFromRoutineCutoff
10,Chapter2RegressionTests.Chapter2GuestPanicBeginStopRestoresActorState
11,Chapter2RegressionTests.Chapter2GuestPanicRunsBackAndForthImmediately
12,Chapter2RegressionTests.Chapter2MonsterStingerControllerExists
13,Chapter2RegressionTests.Chapter2PanicApprovedFrameLibraryIsComplete
14,Chapter2RegressionTests.GuestFootstepCatalogCoversEveryGuestAndUsesHighPassFiltering
15,Chapter2RegressionTests.SubtitleLineBankDefinesChapter1AndChapter2DialogueOnlyLines
16,CharacterRegressionTests.CustomMaleSideStandingFramesMatchWalkScale
17,CharacterRegressionTests.FirstChapterGuestUsesLadyDirectionalAnimation
18,CharacterRegressionTests.FourthChapterGuestUsesCountessDirectionalAnimation
19,CharacterRegressionTests.LaterChapterGuestsUseAuthoredNamedAnimations
20,CharacterRegressionTests.NamedGuestAnimationAssetsUseExpectedIdleAndDirectionalWalks
21,CharacterRegressionTests.RoomPeopleAreEditableDepthScaledSceneObjects
22,CharacterRegressionTests.SecondChapterGuestUsesButlerSheetDirectionalAnimation
23,CharacterRegressionTests.ThirdChapterGuestUsesMisterFlorianDirectionalAnimation
24,GuestRoomScaleRegressionTests.GuestRoomScaleApplierIgnoresExistingLegacyWalkerParticipants
25,GuestRoomScaleRegressionTests.GuestRoomScaleApplierRefreshRoomNowTargetsSelectedRoomOnly
26,GuestRoomScaleRegressionTests.GuestRoomScaleApplierUsesWalkerTargetGraphic
27,GuestRoomScaleRegressionTests.GuestScaleParticipantProjectedRoomBeatsStaleCurrentRoom
28,NavigationRegressionTests.BilliardRoomKeepsForegroundCutouts
29,NavigationRegressionTests.ButlerPlayerIdleUsesStableBreathingFrameSequence
30,NavigationRegressionTests.ChapterClockUsesSingleBottomLeftHudReadout
31,NavigationRegressionTests.ClockTickingAmbienceLoopsRandomTicksInClockRooms
32,NavigationRegressionTests.DrawingRoomDoesNotKeepStaleGreenChairReference
33,NavigationRegressionTests.GameplayDoorTriggerLayerCanReceiveClicks
34,NavigationRegressionTests.GameplayRoomsOwnBackgroundsAndDoorGroups
35,NavigationRegressionTests.ImportantRoomPropsKeepStableAuthoredSorting
36,NavigationRegressionTests.PlayerMovementResolvesBlockerClickToNearestWalkableBlockerEdge
37,NavigationRegressionTests.ServiceCorridorKeepsAuthoredProps
38,NavigationRegressionTests.SettingsDebugChapterSkipsClosePausedModalBeforeRunning
39,OddityRegressionTests.OdditiesAreEditableRoomObjects
40,RoomLightingRegressionTests.GameplaySceneHasExplicitLightingController
41,RoomLightingRegressionTests.GameplaySceneKeepsGeneratedCandleFlameParticles
42,RoomProjectionRegressionTests.ActorRoomStateSkipsRoomStageScaleBindingWhenProjectionIsActive
43,RoomProjectionRegressionTests.Chapter1ProjectedGuestPlacementKeepsSafeFallbacks
44,RoomProjectionRegressionTests.LegacyWalkerAndWorldYSortDeferToActiveProjection
45,RoomProjectionRegressionTests.ProjectedEntityUsesEditedRootScaleWhenVisualRootIsActorRoot
46,RoomProjectionRegressionTests.ProjectedEntityUsesEditedVisualScaleAsProjectionBase
