run,result,total,passed,failed,skipped,fingerprint_sha256,butler_height_px,door_height_px,butler_door_ratio,presentation_scale,butler_sort,visible_guests,tracked_tree_unchanged
01,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
02,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
03,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
04,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
05,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
06,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
07,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
08,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
09,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
10,Passed,1,1,0,0,34ea66772abd7375f965b2277e7342c82dbd853bc1efecc8d82a00e1b403dd96,114.417,141.481,0.808710,0.7528645,1075,8,true
